barca -> IT, PT, SK
biskupice -> CZ, PL, SK
brakel -> BE, DE, NL
campo -> FR, IT, PT
corte -> FR, IT, PT
costa -> FR, IT, PT
halle -> BE, DE, NL
lipovec -> CZ, SI, SK
melle -> BE, FR, IT
monte -> FR, IT, PT
ruda -> CZ, IT, PL
rudno -> PL, SI, SK
slatina -> CZ, SI, SK
tisovec -> CZ, SI, SK
aalst -> BE, NL
alem -> NL, PT
alto -> IT, PT
ambrus -> FR, SI
anais -> FR, PT
andel -> FR, NL
andres -> FR, PT
arbus -> FR, IT
armes -> FR, PT
arnas -> FR, PT
arques -> FR, PT
babice -> CZ, PL
baby -> FR, PL
bach -> AT, FR
balma -> FR, IT
barbas -> FR, PT
barras -> FR, PT
barro -> FR, PT
bastia -> FR, IT
baška -> CZ, SK
beaufort -> FR, LU
benice -> PL, SK
berg -> FR, LU
bergheim -> DE, FR
beringen -> BE, LU
bertrange -> FR, LU
bettborn -> FR, LU
bettendorf -> FR, LU
blatno -> CZ, SI
boca -> IT, PT
bocholt -> BE, DE
bonnal -> FR, LU
borek -> CZ, PL
borgo -> FR, IT
born -> LU, NL
borne -> FR, NL
bourscheid -> FR, LU
boves -> FR, IT
brando -> FR, IT
bras -> FR, PT
breda -> NL, PT
breia -> IT, PT
brest -> FR, SI
brestovec -> SI, SK
breza -> SI, SK
breznica -> SI, SK
brezno -> SI, SK
brezovica -> SI, SK
brunet -> FR, IT
buk -> CZ, PL
bukovec -> SI, SK
burbach -> DE, FR
burg -> DE, FR
bystré -> CZ, SK
caixas -> FR, PT
calvino -> IT, PT
campino -> IT, PT
carves -> FR, PT
casabianca -> FR, IT
casanova -> FR, IT
casevecchie -> FR, IT
castellar -> FR, IT
castiglione -> FR, IT
cerva -> IT, PT
cestas -> FR, PT
chas -> FR, PT
coggia -> FR, IT
creil -> FR, NL
croce -> FR, IT
dahlem -> DE, LU
dalem -> FR, NL
dippach -> DE, LU
dobra -> DE, PL
dobrá voda -> CZ, SK
dole -> FR, SI
dornas -> FR, PT
dornes -> FR, PT
dubno -> CZ, SK
dvorce -> CZ, SI
ell -> LU, NL
elvange -> FR, LU
ermelo -> NL, PT
erp -> FR, NL
eschweiler -> DE, LU
forno -> IT, PT
frais -> FR, IT
fraisse -> FR, IT
gaia -> IT, PT
gaiola -> IT, PT
gaj -> PL, SI
glina -> PL, SI
golice -> PL, SI
granges -> FR, IT
grou -> NL, PT
hagen -> FR, LU
ham -> BE, FR
hasselt -> BE, NL
hem -> FR, NL
herten -> DE, NL
hlohovec -> CZ, SK
holice -> CZ, SK
horka -> CZ, DE
hosta -> FR, SI
janov -> CZ, SK
javor -> CZ, SI
jesenice -> CZ, SI
kamenica -> SI, SK
kirchberg -> DE, FR
kirchheim -> DE, FR
klokočov -> CZ, SK
kojatice -> CZ, SK
koprivnica -> SI, SK
krakovany -> CZ, SK
kryry -> CZ, PL
kunice -> CZ, PL
kyjov -> CZ, SK
laas -> FR, IT
lage -> DE, PT
lago -> IT, PT
lagos -> FR, PT
laives -> FR, IT
lama -> FR, PT
lans -> AT, FR
leimbach -> DE, FR
lent -> FR, NL
lesme -> FR, IT
levice -> IT, SK
lichtenberg -> DE, FR
lies -> FR, NL
lille -> BE, FR
limbach -> DE, SK
lipnica -> PL, SI
lipno -> CZ, PL
lipová -> CZ, SK
lišov -> CZ, SK
lom -> CZ, SI
loué -> FR, PT
lukov -> CZ, SK
lutter -> DE, FR
luže -> CZ, SI
mana -> FR, IT
manas -> FR, PT
marianka -> PL, SK
